,yDistance,xDistance,theta,width,height,centerX,centerY,aspectRatio,heightRatio,yDiff
846,70,5,5,233.00003051757812,96.32286071777344,35.5,-71.0339126586914,2.4189484119415283,1.0705882352941176,6
847,70,5,5,232.25128173828125,96.16726684570312,35.874359130859375,-71.20423889160156,2.41507625579834,1.0348837209302326,7
848,70,5,5,236.54119873046875,95.91551208496094,34.729400634765625,-71.64221954345703,2.4661412239074707,1.0470588235294118,7
849,70,5,5,231.0918426513672,94.1781005859375,29.454071044921875,-74.85121154785156,2.4537746906280518,1.0470588235294118,5
850,70,5,5,234.175537109375,94.51295471191406,27.9122314453125,-74.88988494873047,2.477708339691162,1.0232558139534884,7
851,70,5,10,236.29214477539062,100.94757080078125,80.85394287109375,-69.52622985839844,2.3407411575317383,1.0963855421686748,10
852,70,5,10,236.2921142578125,100.54347229003906,80.85394287109375,-69.72827911376953,2.3501486778259277,1.0843373493975903,11
853,70,5,10,239.86993408203125,103.77044677734375,80.06503295898438,-70.48358154296875,2.3115437030792236,1.058139534883721,13
854,70,5,10,239.1204833984375,101.7127685546875,79.43975830078125,-69.88140869140625,2.3509387969970703,1.0714285714285714,11
855,70,5,10,239.04953002929688,103.79241943359375,79.47528076171875,-70.91177368164062,2.303150177001953,1.058139534883721,12
856,70,5,-5,239.0605010986328,93.31045532226562,-67.53024291992188,-74.34478759765625,2.56199049949646,1.0595238095238095,-10
857,70,5,-5,242.98358154296875,94.08000183105469,-65.94821166992188,-73.95999908447266,2.582733631134033,1.035294117647059,-9
858,70,5,-5,239.04385375976562,94.00001525878906,-67.52192687988281,-74.00000762939453,2.5430192947387695,1.0470588235294118,-10
859,70,5,-5,239.02529907226562,94.00001525878906,-67.51264953613281,-74.00000762939453,2.5428218841552734,1.0,-6
860,70,5,-5,239.44000244140625,94.08001708984375,-67.72000122070312,-73.96000671386719,2.545067548751831,1.0470588235294118,-10
861,70,5,-5,236.57113647460938,93.33981323242188,-52.28558349609375,-77.33009338378906,2.5345146656036377,1.0,-7
862,70,5,-5,239.8501739501953,93.58087158203125,-51.925048828125,-77.20956420898438,2.563025712966919,1.0235294117647058,-8
863,70,5,-5,238.8501434326172,93.58087158203125,-52.425079345703125,-77.20956420898438,2.5523393154144287,1.035294117647059,-8
864,70,5,-5,239.19520568847656,94.0,-52.41851806640625,-77.0,2.5446298122406006,0.9887640449438202,-5
865,70,5,-5,237.57113647460938,93.33981323242188,-51.78558349609375,-77.33009338378906,2.5452282428741455,1.0232558139534884,-7
866,70,0,-5,241.21376037597656,93.85247802734375,-52.606842041015625,-77.07376098632812,2.5701372623443604,1.0,-6
867,70,0,-5,239.20538330078125,93.34230041503906,-52.602691650390625,-77.32884979248047,2.562668561935425,1.0114942528735633,-6
868,70,0,-5,240.0811309814453,93.03652954101562,-53.040557861328125,-77.48173522949219,2.5805039405822754,1.0232558139534884,-7
869,70,0,-5,244.10983276367188,94.0,-50.87359619140625,-77.0,2.5969130992889404,1.0,-7
870,70,0,-5,241.87489318847656,94.0,-51.07867431640625,-77.0,2.573137044906616,0.9775280898876404,-5
871,70,0,-10,252.44564819335938,104.5,-98.72279357910156,-76.25,2.415747880935669,1.0454545454545454,-17
872,70,0,-10,245.94561767578125,100.99998474121094,-101.97280883789062,-74.49999237060547,2.435105562210083,1.0,-13
873,70,0,-10,245.01034545898438,101.00001525878906,-101.50517272949219,-74.49999237060547,2.425844669342041,1.0114942528735633,-14
874,70,0,-10,245.01034545898438,103.82353210449219,-101.50517272949219,-75.91175079345703,2.359873056411743,1.0344827586206897,-17
875,70,0,-10,245.033935546875,101.56388854980469,-101.5169677734375,-74.21805572509766,2.4126088619232178,1.0,-13
876,70,10,0,237.13873291015625,89.55677795410156,-46.569366455078125,-76.22162628173828,2.6479148864746094,1.0344827586206897,-1
877,70,10,0,235.90713500976562,89.8441162109375,-46.11376953125,-76.07794189453125,2.6257383823394775,1.0595238095238095,-2
878,70,10,0,235.21038818359375,91.38398742675781,-46.469146728515625,-77.3320083618164,2.573868751525879,1.0952380952380953,-6
879,70,10,0,233.3070526123047,89.52095031738281,-44.653564453125,-76.23954010009766,2.606172561645508,1.0714285714285714,-4
880,70,10,0,235.07437133789062,89.10626220703125,-46.53717041015625,-76.44685363769531,2.6381351947784424,1.0595238095238095,-3
881,70,10,-5,243.28231811523438,92.0,-77.31187438964844,-76.0,2.6443729400634766,1.0113636363636365,-4
882,70,10,-5,247.59719848632812,93.77558898925781,-75.15443420410156,-76.8877944946289,2.6403160095214844,1.0340909090909092,-6
883,70,10,-5,244.04489135742188,92.0,-77.07905578613281,-76.0,2.6526618003845215,1.0348837209302326,-6
884,70,10,-5,239.10768127441406,91.03509521484375,-77.5538330078125,-75.51754760742188,2.6265439987182617,1.0470588235294118,-7
885,70,10,-5,238.14125061035156,90.11875915527344,-78.07061767578125,-75.94063568115234,2.642526865005493,1.0229885057471264,-4
886,70,10,5,234.03848266601562,97.09577941894531,12.98077392578125,-74.5290298461914,2.4103877544403076,1.0588235294117647,8
887,70,10,5,235.8202667236328,96.63148498535156,12.089874267578125,-74.3359603881836,2.440408229827881,1.0595238095238095,7
888,70,10,5,235.6707763671875,96.45391845703125,12.16461181640625,-74.52238464355469,2.4433510303497314,1.0595238095238095,7
889,70,10,5,234.80770874023438,96.48040771484375,12.59619140625,-74.22134399414062,2.433734655380249,1.0714285714285714,7
890,70,10,5,234.9183349609375,96.84178161621094,12.54083251953125,-74.71631622314453,2.425795316696167,1.0470588235294118,8
891,70,10,10,235.2294464111328,102.60791015625,51.385345458984375,-72.1378173828125,2.2925078868865967,1.0705882352941176,12
892,70,10,10,231.30401611328125,102.312255859375,53.347991943359375,-71.97694396972656,2.260765552520752,1.0705882352941176,12
893,70,10,10,235.55520629882812,99.94834899902344,51.222412109375,-71.02581024169922,2.356769323348999,1.125,9
894,70,10,10,237.9718017578125,102.85128784179688,50.01409912109375,-72.2464599609375,2.313746452331543,1.0833333333333333,12
