,yDistance,xDistance,theta,width,height,centerX,centerY,aspectRatio,heightRatio,yDiff
137,40,-15,-20,340.6470642,177.9034729,-63.67645264,24.95173645,1.914785862,0.896825397,-51
138,40,-15,-20,339.5882568,176.9292297,-63.20587158,24.46461487,1.91934514,0.911290323,-52
139,40,-15,-20,339.0588684,176.9956055,-63.47058105,24.49780273,1.915634394,0.89516129,-52
140,40,-20,-15,329.6437988,161.3335266,35.82189941,15.66673279,2.043244123,0.868217054,-33
141,40,-20,-15,328.0880127,162.3186035,36.04406738,15.96688843,2.021259546,0.861538462,-33
142,40,-20,-15,330.8218384,162.6285095,36.41091919,16.31422424,2.034218073,0.854961832,-32
143,40,-20,-15,320.532135,161.8740692,32.26605225,15.45877075,1.980132699,0.868217054,-33
144,40,-20,-15,327.6869507,162.9689484,35.84353638,15.48446655,2.010732412,0.891472868,-34
145,40,-20,-20,326.0527954,175.9121552,-15.97360229,14.95608521,1.853497863,0.84496124,-46
146,40,-20,-20,321.635437,176.5550842,-20.74743652,15.27754211,1.821728587,0.833333333,-44
147,40,-20,-20,324.0794678,176.0109863,-16.96026611,15.00549316,1.841245651,0.838461538,-46
148,40,-20,-20,319.1384888,176.1507263,-19.43075562,15.07536316,1.811735272,0.846153846,-46
149,40,-20,-20,319.1230774,175.969635,-19.43847656,14.9848175,1.813512206,0.859375,-47
150,40,-20,-25,318.4395447,189.1538239,-63.7802124,16.57693481,1.683495164,0.839694656,-58
151,40,-20,-25,325.8992615,187.6787415,-61.050354,16.83940125,1.736474037,0.838461538,-57
152,40,-20,-25,318.6032715,188.8523102,-63.69836426,16.42617798,1.687049866,0.860465116,-59
153,40,-20,-25,325.2426147,188.7223663,-61.37869263,17.36120605,1.72339201,0.824427481,-57
154,40,-20,-25,325.727356,187.6787567,-61.13632202,16.83938599,1.735557914,0.838461538,-57
155,45,0,0,330.1869812,115.7207947,3.07635498,3.668563843,2.853307247,1.045045045,-5
156,45,0,0,327.9790649,115.1585693,-2.850372314,5.579284668,2.848064661,0.98245614,-1
157,45,0,0,326.3444519,116.7627106,0.121887207,4.793121338,2.794937372,1.017857143,-5
158,45,0,0,328.3403625,114.4573212,1.817138672,5.228668213,2.868670702,1,-2
